name,threshold,best.model.step,interpolation.last,extrapolation.last,interpolation.step.solved,extrapolation.step.solved,sparse.error.max,solved,model,operation,seed,size
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s52_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1240704.25,86581576,NA,NA,0,FALSE,NAU,$z^2$,52,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s53_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238574.25,86428840,NA,NA,0,FALSE,NAU,$z^2$,53,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s54_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238046.25,86420240,NA,NA,0,FALSE,NAU,$z^2$,54,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s55_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1239212,86812240,NA,NA,0,FALSE,NAU,$z^2$,55,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s56_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1239211.5,86833304,NA,NA,0,FALSE,NAU,$z^2$,56,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s57_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1239425.5,86747376,NA,NA,0,FALSE,NAU,$z^2$,57,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s58_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1240632.875,86327032,NA,NA,0,FALSE,NAU,$z^2$,58,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s59_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1237652.5,86643432,NA,NA,0,FALSE,NAU,$z^2$,59,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s6_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1237801,86710632,NA,NA,0,FALSE,NAU,$z^2$,6,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s60_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1239212,86812240,NA,NA,0,FALSE,NAU,$z^2$,60,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s61_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1240632.875,86327032,NA,NA,0,FALSE,NAU,$z^2$,61,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s62_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238207,86823088,NA,NA,0,FALSE,NAU,$z^2$,62,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s63_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238421.375,86375408,NA,NA,0,FALSE,NAU,$z^2$,63,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s64_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238797.75,86618240,NA,NA,0,FALSE,NAU,$z^2$,64,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s65_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1237961.125,86386928,NA,NA,0,FALSE,NAU,$z^2$,65,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s66_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1237809.5,86856024,NA,NA,0,FALSE,NAU,$z^2$,66,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s67_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1239425.75,86588256,NA,NA,0,FALSE,NAU,$z^2$,67,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s68_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238808.625,86760112,NA,NA,0,FALSE,NAU,$z^2$,68,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s69_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1240928.125,86611544,NA,NA,0,FALSE,NAU,$z^2$,69,5001
